Inoculation time,Reading time,Days (approx),Hours growth,Initials,Organism,Media,Name,OD600 raw,OD600,Note,Type,Estimated?
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",Uninoculated,MM5-C,MM5-C Uninoculated,0.000,0,,Negative,
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",E. coli,MM5-C,MM5-C w/ E. coli,0.032,0.023703704,,,
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",Gluconobacter,MM5-C,MM5-C w/ Gluconobacter,0.002,0.001481481,,,
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",Paracoccus,MM5-C,MM5-C w/ Paracoccus,0.030,0.022222222,,,
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",Uninoculated,MM5+D-gluc4,MM5+D-gluc4 Uninoculated ,0.016,0.011851852,,Negative,
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",E. coli,MM5+D-gluc4,MM5+D-gluc4 w/ E. coli,0.060,0.044444444,,,
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",Gluconobacter,MM5+D-gluc4,MM5+D-gluc4 w/ Gluconobacter,0.006,0.004444444,,,
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",Paracoccus,MM5+D-gluc4,MM5+D-gluc4 w/ Paracoccus,0.095,0.07037037,,,
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",Uninoculated,MM5+L-gluc4,MM5+L-gluc4 Uninoculated,0.001,0.000740741,,Negative,
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",E. coli,MM5+L-gluc4,MM5+L-gluc4 w/ E. coli,0.052,0.038518519,,,
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",Gluconobacter,MM5+L-gluc4,MM5+L-gluc4 w/ Gluconobacter,0.003,0.002222222,,,
6/7/23 3:00 PM,6/8/23 11:00 AM,1,20,"EH, ARH, GC, EL",Paracoccus,MM5+L-gluc4,MM5+L-gluc4 w/ Paracoccus,0.109,0.080740741,,,
6/7/23 3:00 PM,6/12/23 8:55 AM,5,113.9166667,EH,Uninoculated,MM5-C,MM5-C Uninoculated,0.000,0,,Negative,
6/7/23 3:00 PM,6/12/23 8:55 AM,5,113.9166667,EH,E. coli,MM5-C,MM5-C w/ E. coli,0.029,0.021481481,,,
6/7/23 3:00 PM,6/12/23 8:55,5,113.9166667,EH,Gluconobacter,MM5-C,MM5-C w/ Gluconobacter,0.615,0.455555556,,,
6/7/23 3:00 PM,6/12/23 8:55,5,113.9166667,EH,Paracoccus,MM5-C,MM5-C w/ Paracoccus,0.029,0.021481481,,,
6/7/23 3:00 PM,6/12/23 8:55,5,113.9166667,EH,Uninoculated,MM5+D-gluc4,MM5+D-gluc4 Uninoculated ,0.000,0,,Negative,
6/7/23 3:00 PM,6/12/23 8:55,5,113.9166667,EH,E. coli,MM5+D-gluc4,MM5+D-gluc4 w/ E. coli,0.099,0.073333333,,,
6/7/23 3:00 PM,6/12/23 8:55,5,113.9166667,EH,Gluconobacter,MM5+D-gluc4,MM5+D-gluc4 w/ Gluconobacter,0.005,0.003703704,,,
6/7/23 3:00 PM,6/12/23 8:55,5,113.9166667,EH,Paracoccus,MM5+D-gluc4,MM5+D-gluc4 w/ Paracoccus,1.386,1.026666667,,,
6/7/23 3:00 PM,6/12/23 8:55,5,113.9166667,EH,Uninoculated,MM5+L-gluc4,MM5+L-gluc4 Uninoculated,0.005,0.003703704,,Negative,
6/7/23 3:00 PM,6/12/23 8:55,5,113.9166667,EH,E. coli,MM5+L-gluc4,MM5+L-gluc4 w/ E. coli,0.037,0.027407407,,,
6/7/23 3:00 PM,6/12/23 8:55,5,113.9166667,EH,Gluconobacter,MM5+L-gluc4,MM5+L-gluc4 w/ Gluconobacter,0.000,0,,,
6/7/23 3:00 PM,6/12/23 8:55,5,113.9166667,EH,Paracoccus,MM5+L-gluc4,MM5+L-gluc4 w/ Paracoccus,1.606,1.18962963,,,
6/7/23 3:00 PM,,,,,Uninoculated,MM5-C,MM5-C Uninoculated,,,,,
6/7/23 3:00 PM,,,,,E. coli,MM5-C,MM5-C w/ E. coli,,,,,
6/7/23 3:00 PM,,,,,Gluconobacter,MM5-C,MM5-C w/ Gluconobacter,,,,,
6/7/23 3:00 PM,,,,,Paracoccus,MM5-C,MM5-C w/ Paracoccus,,,,,
6/7/23 3:00 PM,,,,,Uninoculated,MM5+D-gluc4,MM5+D-gluc4 Uninoculated ,,,,,
6/7/23 3:00 PM,,,,,E. coli,MM5+D-gluc4,MM5+D-gluc4 w/ E. coli,,,,,
6/7/23 3:00 PM,,,,,Gluconobacter,MM5+D-gluc4,MM5+D-gluc4 w/ Gluconobacter,,,,,
6/7/23 3:00 PM,,,,,Paracoccus,MM5+D-gluc4,MM5+D-gluc4 w/ Paracoccus,,,,,
6/7/23 3:00 PM,,,,,Uninoculated,MM5+L-gluc4,MM5+L-gluc4 Uninoculated,,,,,
6/7/23 3:00 PM,,,,,E. coli,MM5+L-gluc4,MM5+L-gluc4 w/ E. coli,,,,,
6/7/23 3:00 PM,,,,,Gluconobacter,MM5+L-gluc4,MM5+L-gluc4 w/ Gluconobacter,,,,,
6/7/23 3:00 PM,,,,,Paracoccus,MM5+L-gluc4,MM5+L-gluc4 w/ Paracoccus,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
